1773247500,"618160128"
1773247515,"620695552"
1773247530,"624349184"
1773247545,"624611328"
1773247560,"624971776"
1773247575,"629960704"
1773247590,"629747712"
1773247605,"626593792"
1773247620,"626548736"
1773247635,"627494912"
1773247650,"632532992"
1773247665,"632578048"
1773247680,"632774656"
1773247695,"633262080"
1773247710,"551342080"
1773247725,"499826688"
1773247740,"505729024"
1773247755,"470982656"
1773247770,"435478528"
1773247785,"401129472"
1773247800,"402366464"
1773247815,"409382912"
1773247830,"367067136"
1773247845,"367984640"
1773247860,"336814080"
1773247875,"348798976"
1773247890,"343056384"
1773247905,"341684224"
1773247920,"343363584"
1773247935,"351993856"
1773247950,"352956416"
1773247965,"350355456"
1773247980,"350179328"
1773247995,"352272384"
1773248010,"352927744"
1773248025,"351809536"
1773248040,"352907264"
1773248055,"355672064"
1773248070,"355913728"
1773248085,"356360192"
1773248100,"363884544"
1773248115,"362020864"
1773248130,"364044288"
1773248145,"366972928"
1773248160,"368758784"
1773248175,"369459200"
1773248190,"367099904"
1773248205,"364687360"
1773248220,"371331072"
1773248235,"378052608"
1773248250,"354328576"
1773248265,"359788544"
1773248280,"363597824"
1773248295,"361512960"
1773248310,"374788096"
1773248325,"373432320"
1773248340,"373989376"
1773248355,"374091776"
1773248370,"388636672"
1773248385,"386285568"
1773248400,"387239936"
1773248415,"393781248"
1773248430,"397410304"
1773248445,"417554432"
1773248460,"427081728"
1773248475,"442081280"
1773248490,"469450752"
1773248505,"464506880"
1773248520,"501317632"
1773248535,"507117568"
1773248550,"518393856"
1773248565,"523624448"
1773248580,"440889344"
1773248595,"471629824"
1773248610,"492351488"
1773248625,"480493568"
1773248640,"482717696"
1773248655,"470347776"
1773248670,"488112128"
1773248685,"487374848"
1773248700,"507801600"
1773248715,"544690176"
1773248730,"592891904"
1773248745,"588644352"
1773248760,"603713536"
1773248775,"620224512"
1773248790,"646234112"
1773248805,"656883712"
1773248820,"655220736"
1773248835,"646696960"
1773248850,"618708992"
1773248865,"583839744"
1773248880,"614481920"
1773248895,"598188032"
1773248910,"484814848"
1773248925,"516546560"
1773248940,"556777472"
1773248955,"573665280"
1773248970,"647929856"
1773248985,"644194304"
1773249000,"672342016"
1773249015,"696713216"
1773249030,"736206848"
1773249045,"787402752"
1773249060,"785358848"
1773249075,"792166400"
1773249090,"857260032"
1773249105,"856104960"
1773249120,"855425024"
1773249135,"881295360"
1773249150,"946343936"
1773249165,"813629440"
1773249180,"832499712"
1773249195,"830996480"
1773249210,"649080832"
1773249225,"727904256"
1773249240,"765304832"
1773249255,"807677952"
1773249270,"869359616"
1773249285,"882642944"
1773249300,"897609728"
1773249315,"958197760"
1773249330,"971714560"
1773249345,"993153024"
1773249360,"1007775744"
1773249375,"995454976"
1773249390,"1008046080"
1773249405,"1004683264"
1773249420,"986419200"
1773249435,"1000374272"
1773249450,"983097344"
1773249465,"944103424"
1773249480,"948486144"
1773249495,"1251786752"
1773249510,"1340420096"
1773249525,"1429483520"
1773249540,"1423147008"
1773249555,"1424453632"
1773249570,"1459769344"
1773249585,"1417928704"
1773249600,"1312690176"
1773249615,"1031356416"
1773249630,"1176076288"
1773249645,"1183707136"
1773249660,"1180545024"
1773249675,"1005195264"
1773249690,"973733888"
1773249705,"1044328448"
1773249720,"1055289344"
1773249735,"1040965632"
1773249750,"1083871232"
1773249765,"1077964800"
1773249780,"1131245568"
1773249795,"1092898816"
1773249810,"1126830080"
1773249825,"1128361984"
1773249840,"1240629248"
1773249855,"1239400448"
1773249870,"1355526144"
1773249885,"1366044672"
1773249900,"1454751744"
1773249915,"1444102144"
1773249930,"1434054656"
1773249945,"1805582336"
1773249960,"1788649472"
1773249975,"1785954304"
1773249990,"1743130624"
1773250005,"1829339136"
1773250020,"1667080192"
1773250035,"1860345856"
1773250050,"2065608704"
1773250065,"2064371712"
1773250080,"2065108992"
1773250095,"2061090816"
1773250110,"1677729792"
1773250125,"1759907840"
1773250140,"1749663744"
1773250155,"1333874688"
1773250170,"849227776"
1773250185,"245178368"
1773250200,"243531776"
1773250215,"248274944"
1773250230,"176467968"
1773250245,"180367360"
1773250260,"180293632"
1773250275,"175505408"
1773250290,"169738240"
1773250305,"257458176"
1773250320,"286351360"
