1773247500,"98"
1773247515,"56"
1773247530,"56"
1773247545,"56"
1773247560,"56"
1773247575,"264"
1773247590,"53"
1773247605,"70"
1773247620,"70"
1773247635,"70"
1773247650,"47"
1773247665,"47"
1773247680,"47"
1773247695,"164"
1773247710,"33"
1773247725,"62"
1773247740,"62"
1773247755,"77"
1773247770,"80"
1773247785,"55"
1773247800,"55"
1773247815,"60"
1773247830,"48"
1773247845,"36"
1773247860,"37"
1773247875,"71"
1773247890,"67"
1773247905,"47"
1773247920,"47"
1773247935,"113"
1773247950,"26"
1773247965,"26"
1773247980,"107"
1773247995,"107"
1773248010,"99"
1773248025,"42"
1773248040,"42"
1773248055,"78"
1773248070,"66"
1773248085,"29"
1773248100,"20"
1773248115,"20"
1773248130,"29"
1773248145,"40"
1773248160,"40"
1773248175,"55"
1773248190,"24"
1773248205,"24"
1773248220,"28"
1773248235,"28"
1773248250,"36"
1773248265,"42"
1773248280,"39"
1773248295,"16"
1773248310,"74"
1773248325,"35"
1773248340,"35"
1773248355,"43"
1773248370,"47"
1773248385,"37"
1773248400,"37"
1773248415,"132"
1773248430,"113"
1773248445,"85"
1773248460,"158"
1773248475,"91"
1773248490,"141"
1773248505,"131"
1773248520,"133"
1773248535,"121"
1773248550,"85"
1773248565,"70"
1773248580,"138"
1773248595,"100"
1773248610,"67"
1773248625,"28"
1773248640,"133"
1773248655,"186"
1773248670,"207"
1773248685,"207"
1773248700,"353"
1773248715,"125"
1773248730,"133"
1773248745,"136"
1773248760,"79"
1773248775,"212"
1773248790,"212"
1773248805,"133"
1773248820,"223"
1773248835,"118"
1773248850,"213"
1773248865,"107"
1773248880,"91"
1773248895,"55"
1773248910,"259"
1773248925,"276"
1773248940,"146"
1773248955,"171"
1773248970,"148"
1773248985,"259"
1773249000,"194"
1773249015,"130"
1773249030,"300"
1773249045,"292"
1773249060,"151"
1773249075,"260"
1773249090,"149"
1773249105,"311"
1773249120,"311"
1773249135,"6"
1773249150,"176"
1773249165,"118"
1773249180,"278"
1773249195,"399"
1773249210,"234"
1773249225,"241"
1773249240,"245"
1773249255,"359"
1773249270,"187"
1773249285,"214"
1773249300,"299"
1773249315,"283"
1773249330,"281"
1773249345,"13"
1773249360,"13"
1773249375,"8"
1773249390,"93"
1773249405,"9"
1773249420,"6"
1773249435,"6"
1773249450,"13"
1773249465,"12"
1773249480,"12"
1773249495,"1010"
1773249510,"1010"
1773249525,"349"
1773249540,"349"
1773249555,"513"
1773249570,"496"
1773249585,"1129"
1773249600,"324"
1773249615,"602"
1773249630,"601"
1773249645,"495"
1773249660,"11"
1773249675,"37"
1773249690,"37"
1773249705,"372"
1773249720,"372"
1773249735,"665"
1773249750,"4"
1773249765,"4"
1773249780,"3"
1773249795,"8"
1773249810,"9"
1773249825,"9"
1773249840,"735"
1773249855,"735"
1773249870,"418"
1773249885,"418"
1773249900,"644"
1773249915,"644"
1773249930,"644"
1773249945,"14"
1773249960,"14"
1773249975,"14"
1773249990,"14"
1773250005,"15"
1773250020,"25"
1773250035,"892"
1773250050,"351"
1773250065,"21"
1773250080,"21"
1773250095,"5"
1773250110,"312"
1773250125,"150"
1773250140,"150"
1773250155,"22"
1773250170,"22"
1773250185,"353"
1773250200,"353"
1773250215,"353"
1773250230,"2"
1773250245,"2"
1773250260,"2"
1773250275,"2"
1773250290,"2"
1773250305,"1"
1773250320,"1"
